to,from,username
1462300423436570624,3841515316,NtiniElton
1462300423436570624,444985419,NtiniElton
1462300423436570624,940839679854866432,NtiniElton
1462300423436570624,702047069679255552,NtiniElton
1567851242335993856,1592158046607876098,RaphaelTina3
1567851242335993856,1084211651530948616,RaphaelTina3
1567851242335993856,3053797531,RaphaelTina3
1567851242335993856,1268312972990074881,RaphaelTina3
1567851242335993856,1441019614440341505,RaphaelTina3
1567851242335993856,1537079754414870528,RaphaelTina3
1567851242335993856,1589286481482452995,RaphaelTina3
1567851242335993856,1591369782032465921,RaphaelTina3
1567851242335993856,1568033334034403331,RaphaelTina3
1567851242335993856,1524521891414872076,RaphaelTina3
1567851242335993856,728506164670038016,RaphaelTina3
1567851242335993856,1571909763893534721,RaphaelTina3
1567851242335993856,1592343096641159180,RaphaelTina3
1567851242335993856,1569224927403806720,RaphaelTina3
1567851242335993856,1508140768552235013,RaphaelTina3
1567851242335993856,1542538427454803969,RaphaelTina3
1567851242335993856,1546068639970983936,RaphaelTina3
1567851242335993856,1531268179825156096,RaphaelTina3
1567851242335993856,1530274002157043713,RaphaelTina3
1567851242335993856,1488909564745560064,RaphaelTina3
1567851242335993856,1549065922429714433,RaphaelTina3
1567851242335993856,1589641652192382977,RaphaelTina3
1567851242335993856,1566506718787428352,RaphaelTina3
1567851242335993856,1542660286414409728,RaphaelTina3
1567851242335993856,546649103,RaphaelTina3
1567851242335993856,1544967013474377729,RaphaelTina3
1567851242335993856,1576648841646014465,RaphaelTina3
1567851242335993856,1585034579412492292,RaphaelTina3
1567851242335993856,1508281391317987328,RaphaelTina3
1567851242335993856,1557577590994415616,RaphaelTina3
1567851242335993856,1560218674426007556,RaphaelTina3
1567851242335993856,1492462229257601029,RaphaelTina3
1567851242335993856,1544421150540943360,RaphaelTina3
1567851242335993856,1575223642606141440,RaphaelTina3
1567851242335993856,1564162926302355457,RaphaelTina3
1567851242335993856,1566347802267058176,RaphaelTina3
1567851242335993856,1567251443241095168,RaphaelTina3
1567851242335993856,818444674562228224,RaphaelTina3
1567851242335993856,1481531668125171712,RaphaelTina3
1567851242335993856,1526966479215857664,RaphaelTina3
1567851242335993856,355491169,RaphaelTina3
1567851242335993856,1579104467756122112,RaphaelTina3
1567851242335993856,1544332334748639233,RaphaelTina3
1567851242335993856,950134415287574528,RaphaelTina3
1567851242335993856,1557533740158558216,RaphaelTina3
1567851242335993856,1549465313892306945,RaphaelTina3
1567851242335993856,1481711596472877057,RaphaelTina3
1567851242335993856,1546276359701680128,RaphaelTina3
1567851242335993856,1583095834660552704,RaphaelTina3
1567851242335993856,1556092131684540416,RaphaelTina3
1567851242335993856,1545776434597302273,RaphaelTina3
1567851242335993856,1568740178935615488,RaphaelTina3
1567851242335993856,1576595578313740291,RaphaelTina3
1567851242335993856,1555556727571054594,RaphaelTina3
1567851242335993856,1568743781805047830,RaphaelTina3
1567851242335993856,1574427414507274242,RaphaelTina3
1567851242335993856,1572307976454643712,RaphaelTina3
